genre,danceability,energy,valence,tempo,acousticness,loudness,popularity
 rock en espanol,0.6387241379310344,0.7388620689655172,0.6712068965517242,121.56620689655173,0.19198931034482758,-6.4750344827586215,71.86206896551724
 rock independant francais,0.604,0.825,0.707,144.087,0.0564,-5.373,67.0
 rock keyboard,0.808,0.83,0.909,102.8,0.613,-3.995,55.0
 rock of gibraltar,0.626,0.565,0.924,116.61,0.124,-10.027,68.0
 rock urbano mexicano,0.4706666666666666,0.757,0.47433333333333333,132.05666666666667,0.27340000000000003,-8.136666666666667,71.0
 rock-and-roll,0.574967741935484,0.47758064516129034,0.6789032258064516,121.54219354838709,0.4802567741935484,-11.24848387096774,60.70967741935484
 rockabilly,0.5403,0.4995,0.6889000000000001,128.7297,0.49603,-11.99675,64.45
 romanian pop,0.775,0.726,0.206,126.999,0.0399,-5.629,69.0
 roots reggae,0.8090769230769231,0.49615384615384617,0.7526538461538461,120.10057692307693,0.15180423076923077,-9.444423076923076,65.38461538461539
 roots rock,0.5932790697674418,0.4633953488372093,0.6485581395348837,121.9433953488372,0.4409255813953489,-12.93853488372093,58.95348837209303
 russian romanticism,0.277,0.086345,0.2455,72.788,0.9535,-28.0065,66.5
 sacramento indie,0.37616,0.78164,0.3182,119.58836,0.017248686800000003,-5.80604,66.72
 sad rap,0.726,0.431,0.348,144.026,0.731,-8.765,78.0
 sad sierreno,0.7268888888888889,0.6235555555555555,0.7492222222222222,113.99522222222221,0.3728777777777778,-5.715333333333334,79.44444444444444
 salsa,0.7230000000000001,0.7855,0.9105,125.46825,0.48650000000000004,-6.4195,65.5
 salsa colombiana,0.6726,0.7898,0.732,92.6728,0.48319999999999996,-6.9430000000000005,65.4
 salsa puertorriquena,0.7675000000000001,0.68975,0.9644999999999999,105.66125,0.63625,-7.878,68.0
 salsa venezolana,0.6566666666666666,0.665,0.884,93.61333333333334,0.44766666666666666,-9.676666666666668,73.0
 samba,0.683,0.517,0.673,144.129,0.7,-11.86,65.0
 saskatchewan indie,0.604,0.3125,0.4625,105.306,0.8005,-13.316500000000001,71.5
 scandipop,0.7295,0.5925,0.5695,109.0075,0.2095,-4.8759999999999994,79.5
